angDist,col1,col2,col3,ra_ep2000,dec_ep2000,errHalfMaj,errHalfMin,errPosAng,ra,dec,source_id,ref_epoch,ra_error,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_variable_flag,l,b
0.556052,J0437-4715,69.3163808,-47.2525883,69.31657656,-47.25266705,0.003,0.002,0,69.31657656,-47.25266705,4.78986E+18,2015,1.992,2.741,,,,,,,-0.671,0,65,1.28E+02,2.47E+00,20.255,NOT_AVAILABLE,253.394617,-41.96315524
4.436126,J0613-0200,93.4332329,-2.0131189,93.43200102,-2.013171942,0.012,0.011,90,93.43200102,-2.013171942,3.11803E+18,2015,12.242,11.475,,,,,,,-0.999,0,53,8.44E+02,3.08E+00,18.209,NOT_AVAILABLE,210.4125257,-9.306027617
0.360541,J1012+5307,153.139333,53.117367,153.1393296,53.11726687,0.001,0,0,153.1393296,53.11726687,8.51611E+17,2015,0.395,0.614,,,,,,,0.058,0,148,2.44E+02,1.93E+00,19.557,NOT_AVAILABLE,160.3471938,50.85785326
0.857824,J1024-0719,156.161237,-7.321964,156.1610974,-7.322157955,0.011,0.007,0,156.1610974,-7.322157955,3.77528E+18,2015,6.547,11.16,,,,,,,-0.857,0,33,3.92E+02,4.94E+00,19.042,NOT_AVAILABLE,251.7016017,40.51539562
4.894165,J1603-7202,240.8986658,-72.04241622,240.8960554,-72.0435119,0.009,0.004,90,240.8960554,-72.0435119,5.80668E+18,2015,9.32,4.287,,,,,,,0.779,0,58,1.22E+02,2.18E+00,20.31,NOT_AVAILABLE,316.6282976,-14.49575836
3.64931,J1730-2304,262.5902012,-23.0753889,262.5908742,-23.07458625,0.001,0.001,90,262.5908742,-23.07458625,4.11143E+18,2015,0.94,0.692,,,,,,,0.96,0,69,5.06E+03,9.41E+00,16.264,NOT_AVAILABLE,3.138109656,6.023224423
1.858766,J1744-1134,266.1225429,-11.5818686,266.1224655,-11.58135787,0.008,0.007,90,266.1224655,-11.58135787,4.16235E+18,2015,8.326,7.263,,,,,,,0.967,0,35,9.68E+01,2.98E+00,20.56,NOT_AVAILABLE,14.7942774,9.18002811
3.00057,J1751-2857,267.886238,-28.962917,267.8869194,-28.96349948,0.003,0.003,90,267.8869194,-28.96349948,4.05735E+18,2015,2.953,2.642,,,,,,,0.984,0,70,1.03E+03,4.68E+00,17.995,NOT_AVAILABLE,0.645370511,-1.125092443
4.497614,J1801-1417,270.4628212,-14.2929297,270.4628377,-14.29417894,0.012,0.011,90,270.4628377,-14.29417894,4.14707E+18,2015,11.562,10.968,,,,,,,0.999,0,71,3.02E+02,2.34E+00,19.323,NOT_AVAILABLE,14.54519204,4.161222507
2.720735,J1804-2717,271.0880467,-27.292,271.0885037,-27.29136263,0.01,0.01,90,271.0885037,-27.29136263,4.06314E+18,2015,10.332,9.752,,,,,,,0.938,0,55,5.42E+03,1.36E+02,16.19,NOT_AVAILABLE,3.505883867,-2.735640652
2.936042,J1824-2452A,276.133371,-24.86975,276.133524,-24.87055367,0.021,0.018,90,276.133524,-24.87055367,4.07719E+18,2015,21.187,17.637,,,,,,,0.007,0,25,2.66E+04,1.49E+02,14.464,NOT_AVAILABLE,7.796083113,-5.578172296
3.364307,J1843-1113,280.9219258,-11.2252922,280.921539,-11.22614626,0.02,0.018,0,280.921539,-11.22614626,4.10682E+18,2015,17.932,19.559,,,,,,,0.998,0,36,1.74E+02,4.65E+00,19.925,NOT_AVAILABLE,22.05375765,-3.396819031
4.825145,J1853+1303,283.4888261,13.0622468,283.4875676,13.06278855,0.002,0.002,90,283.4875676,13.06278855,4.50616E+18,2015,2.406,1.764,,,,,,,0.91,0,66,2.49E+02,4.89E+00,19.534,NOT_AVAILABLE,44.87446417,5.368288677
3.690921,J1857+0943,284.4016317,9.72145339,284.402388,9.720749449,0.001,0.001,90,284.402388,9.720749449,4.31089E+18,2015,1.346,0.996,,,,,,,0.298,0,103,1.86E+02,1.68E+00,19.851,NOT_AVAILABLE,42.29001346,3.059433242
1.080332,J1910+1256,287.5404184,12.9404243,287.5407218,12.94037311,0.003,0.002,90,287.5407218,12.94037311,4.31405E+18,2015,2.674,2.197,,,,,,,0.453,0,61,1.29E+02,2.90E+00,20.25,NOT_AVAILABLE,46.56395895,1.794931567
2.632686,J1939+2134,294.9151,21.6227,294.9144727,21.62314131,0.003,0.003,90,294.9144727,21.62314131,1.82617E+18,2015,2.99,2.947,,,,,,,0.7,0,62,9.54E+01,2.15E+00,20.576,NOT_AVAILABLE,57.54548636,-0.272954791
0.20805,J1955+2908,298.8661488,29.145425,298.8661022,29.145384,0,0,0,298.8661022,29.145384,2.02858E+18,2015,0.458,0.479,,,,,,,0.502,0,112,6.52E+02,2.07E+00,18.489,NOT_AVAILABLE,65.83923648,0.443258932
4.270987,J2019+2425,304.8831208,24.42091772,304.884155,24.42019605,0.002,0.001,0,304.884155,24.42019605,1.83216E+18,2015,1.33,1.824,,,,,,,-0.522,0,145,3.10E+02,1.94E+00,19.295,NOT_AVAILABLE,64.74589794,-6.625396606
0.000165,J2033+1734,308.3204775,17.6300194,308.3204775,17.63001936,0.035,0.021,90,308.3204978,17.63001858,1.81206E+18,2015,0.307,0.202,1.46,0.64,4.64,2.313,-0.187,1.397,0.746,0,68,1.31E+06,1.27E+03,10.23,NOT_AVAILABLE,60.87209541,-13.09284074